,location,dt,tweets,sentiment
24318,leyte,2018-11-30,-0.3545150035420338,0.610959528343445
24654,leyte,2019-11-01,-0.3393402098761665,-0.6622738913930304
24655,leyte,2019-11-02,-0.30899062254443177,-1.4076079559136352
24656,leyte,2019-11-03,-0.36361987974155424,-0.7538519955362388
24657,leyte,2019-11-04,-0.30899062254443177,-0.16311548034296017
24658,leyte,2019-11-05,-0.3545150035420338,-0.016492867869273956
24659,leyte,2019-11-06,-0.3059556638112583,-0.7601183764522935
24660,leyte,2019-11-07,-0.3150605400107787,-1.2289315463048627
24661,leyte,2019-11-08,-0.2786410352126971,-1.3632651069677575
24662,leyte,2019-11-09,-0.3575499622752073,0.08248671485011627
24663,leyte,2019-11-10,-0.35148004480886036,-0.9098044673147344
24664,leyte,2019-11-11,-0.3180954987439522,-0.43173137916847487
24665,leyte,2019-11-12,-0.3272003749434726,-0.17865223851287787
24666,leyte,2019-11-13,-0.3757597146742481,-1.0052696931673586
24667,leyte,2019-11-14,-0.3454101273425134,-0.5913303056962547
24668,leyte,2019-11-15,-0.3393402098761665,-0.7286931400514864
24669,leyte,2019-11-16,-0.3727247559410746,-0.5163685032631976
24670,leyte,2019-11-17,-0.36058492100838074,0.8151811228364645
24671,leyte,2019-11-18,-0.35148004480886036,-0.16349678502317244
24672,leyte,2019-11-19,-0.36361987974155424,-0.2501342253866373
24673,leyte,2019-11-20,-0.3666548384747277,-0.22315459414105399
24674,leyte,2019-11-21,-0.3545150035420338,-1.4947485764153894
24675,leyte,2019-11-22,-0.32113045747712565,-1.3008809823314305
24676,leyte,2019-11-23,-0.3727247559410746,-0.6792585896755889
24677,leyte,2019-11-24,-0.3727247559410746,-0.9312716695801162
24678,leyte,2019-11-25,-0.2756060764795236,-0.5376140238675124
24679,leyte,2019-11-26,-0.3727247559410746,-1.221501087814467
24680,leyte,2019-11-27,-0.3545150035420338,-0.46507387057789873
24681,leyte,2019-11-28,-0.34237516860934,0.13465582082714905
24682,leyte,2019-11-29,-0.3545150035420338,-0.44878047547750605
24683,leyte,2019-11-30,-0.3666548384747277,0.6541722487831412
25020,leyte,2020-11-01,-0.2604312828136563,-2.1586829241848435
25021,leyte,2020-11-02,-0.29381582887856444,-1.001994685257686
25022,leyte,2020-11-03,-0.3727247559410746,-0.5618566477319162
25023,leyte,2020-11-04,-0.3575499622752073,-0.8432169921222207
25024,leyte,2020-11-05,-0.37879467340742157,-0.6589702852643219
25025,leyte,2020-11-06,-0.3696897972079012,-0.7985592031186401
25026,leyte,2020-11-07,-0.3575499622752073,-1.1451462863000739
25027,leyte,2020-11-08,-0.3393402098761665,-1.7551253670057596
25028,leyte,2020-11-09,-0.3727247559410746,-2.3283113629696315
25029,leyte,2020-11-10,-0.36361987974155424,-1.5285809245852098
25030,leyte,2020-11-11,-0.3666548384747277,-1.1206661341608752
25031,leyte,2020-11-12,-0.36361987974155424,-1.4317859402307178
25032,leyte,2020-11-13,-0.39396946707328895,-2.1259175297528
25033,leyte,2020-11-14,-0.3272003749434726,-1.2215214963776646
25034,leyte,2020-11-15,-0.16634756208527873,-1.4058456468983882
25035,leyte,2020-11-16,-0.3484450860756869,-1.4709573200956003
25036,leyte,2020-11-17,-0.39093450834011545,-0.13217070373410375
25037,leyte,2020-11-18,-0.3727247559410746,-0.440750421306282
25038,leyte,2020-11-19,-0.38182963214059507,-0.8137776051447804
25039,leyte,2020-11-20,-0.3545150035420338,-0.2658661920507749
25040,leyte,2020-11-21,-0.3727247559410746,-1.218353776994787
25041,leyte,2020-11-22,-0.3970044258064624,-2.2887546915612993
25042,leyte,2020-11-23,-0.387899549606942,-0.7441037391750739
25043,leyte,2020-11-24,-0.39093450834011545,0.5458950866139075
25044,leyte,2020-11-25,-0.387899549606942,-0.4031071524480188
25045,leyte,2020-11-26,-0.37879467340742157,0.4856598517698516
25046,leyte,2020-11-27,-0.3666548384747277,-1.6754363081240542
25047,leyte,2020-11-28,-0.36058492100838074,-1.1539151323047065
25048,leyte,2020-11-29,-0.3696897972079012,-0.2945760669069304
25049,leyte,2020-11-30,-0.3757597146742481,-0.6505698602790045
25385,leyte,2021-11-01,-0.387899549606942,-0.508908632723689
25386,leyte,2021-11-02,-0.37879467340742157,-1.6434541741487536
25387,leyte,2021-11-03,-0.3696897972079012,0.30202800712574485
25388,leyte,2021-11-04,-0.39093450834011545,-1.4363144510740022
25389,leyte,2021-11-05,-0.38182963214059507,0.4593382292911545
25390,leyte,2021-11-06,-0.4000393845396359,-2.727739893716583
25391,leyte,2021-11-07,-0.3666548384747277,-2.1899869589365784
25392,leyte,2021-11-08,-0.29381582887856444,-1.89416807652514
25393,leyte,2021-11-09,-0.3150605400107787,-0.7671853235489269
25394,leyte,2021-11-10,-0.34237516860934,-0.6565100857019378
25395,leyte,2021-11-11,-0.33327029240981954,-1.331829782179182
25396,leyte,2021-11-12,-0.3393402098761665,-0.1385491419702776
25397,leyte,2021-11-13,-0.3666548384747277,-1.2500300679069554
25398,leyte,2021-11-14,-0.3575499622752073,-0.5556330671917415
25399,leyte,2021-11-15,-0.3454101273425134,-0.5667412848872972
25400,leyte,2021-11-16,-0.37879467340742157,-1.6575268914585155
25401,leyte,2021-11-17,-0.3545150035420338,0.003275402395749281
25402,leyte,2021-11-18,-0.40307434327280933,0.7376245616173971
25403,leyte,2021-11-19,-0.37879467340742157,1.3123211671792756
25404,leyte,2021-11-20,-0.38182963214059507,-0.34015005283167066
25405,leyte,2021-11-21,-0.3757597146742481,0.63355774053492
25406,leyte,2021-11-22,-0.37879467340742157,-0.9543925192931313
25407,leyte,2021-11-23,-0.39093450834011545,0.9875971662881455
25408,leyte,2021-11-24,-0.36361987974155424,-0.4340569321190281
25409,leyte,2021-11-25,-0.4000393845396359,0.6186706190213753
25410,leyte,2021-11-26,-0.3757597146742481,-0.9918179994589176
25411,leyte,2021-11-27,-0.37879467340742157,-0.46425315463042155
25412,leyte,2021-11-28,-0.387899549606942,0.028502723125906328
25413,leyte,2021-11-29,-0.3484450860756869,-0.3304656547365193
25414,leyte,2021-11-30,-0.3575499622752073,0.3669339982849937
